name,lat ,lon,銘柄
（株）カネハチ 初倉店,34.8075622,138.2188363,"['若竹', '開運']"
駿河屋 - （株）駿河屋商店,34.7105161,137.74563,"['若竹', '開運']"
金松酒店,34.6947613,137.5595634,"['若竹', '開運']"
丸栄酒店,34.7231131,137.4904991,"['若竹', '開運']"
（有）大津屋,34.7161366,137.5463516,"['若竹', '開運']"
（有）大村屋酒店,34.8091842,137.6558349,"['若竹', '開運', '司牡丹', '盛升']"
加用酒店,34.7667663,137.7811953,"['若竹']"
酒＆ＦＯＯＤ　かとう,34.7276727,137.6682628,"['若竹', '開運']"
（株）入野酒販,34.7039417,137.694111,"['若竹', '開運']"
くらた酒店,34.7619229,137.709925,"['若竹', '開運']"
（株）野末商店,34.7953161,137.7868232,"['若竹']"
金原酒店,34.7208714,137.7788726,"['若竹', '開運']"
山下酒店,34.7702618,138.0134324,"['若竹', '開運']"
サンゼン - （株）三善,34.7767245,138.0273741,"['若竹', '開運']"
（有）酒ハウス　ヤマヤ,34.7485335,137.9266247,"['若竹', '開運']"
なだや清水店,34.7354962,137.9307031,"['若竹', '開運']"
松尾酒店,34.838243,137.93115,"['若竹', '開運', '萬代']"
（有）酒のすぎむら,34.6702182,138.0463893,"['若竹', '開運']"
（株）スーパーラック 浜岡店,34.6229907,138.1649965,"['若竹', '開運']"
（有）竹田酒販,34.6478528,138.1337343,"['若竹', '開運']"
（株）スーパーラック　菊川店,34.749261,138.0800218,"['若竹', '開運']"
（有）かぎ八　津田商店,35.5007423,135.7466321,"['酒吞童子']"
（株）良知経営　パスポート四ッ居店,36.0624674,136.2456127,"['萬歳楽']"
二ツ屋酒店 - （有）二ツ屋,35.2038058,135.9222064,"['旭日']"
キムラ酒店,34.9909,135.9118731,"['旭日']"
リカーショップ　ナカヤマ,35.102329,136.0146145,"['旭日']"
FANG - （株）エスウィン,35.2443683,136.2498192,"['旭日']"
（有）小菅酒店,35.2494083,136.242782,"['旭日']"
鷲田酒店,35.0823875,135.9946129,"['旭日']"
タカツ酒店,35.0266931,135.9575171,"['旭日']"
（有）中野酒店,35.0195583,135.9614323,"['天寿', '旭日']"
十四代　金澤 - （株）酒のかなざわ,35.0012383,135.9638146,"['旭日', '月の桂']"
黒川酒店,34.9947601,135.9501704,"['旭日']"
地酒の店　酒藤,35.3825303,136.2932885,"['旭日']"
こいずみ,35.1077136,136.2013447,"['旭日']"
（有）わきざか酒店,35.4745861,136.2380514,"['旭日']"
（株）リカーズ・サンク,35.0146972,136.2237561,"['旭日']"
遊食館　蔵屋,35.0156383,136.642778,"['若戎']"
マスダ　チャム店 - （株）マスダ,34.7341112,136.5107971,"['若戎']"
阪本酒店,34.4865885,136.7116114,"['若戎']"
（名）青木商店,34.4939486,136.6986074,"['若戎']"
酒屋おおいわ - （有）大岩商店,34.4845108,136.8434614,"['若戎']"
リカー＆ギフトギャラリー　田中屋 - （株）田中屋,34.6200314,136.0885474,"['若戎']"
（株）ナガタヤ,34.7705629,136.1451859,"['若戎']"
コンビマート　宏明 - （有）宏明,34.0759583,136.1983368,"['若戎']"
（株）浅野日本酒店SANNOMIYA,34.6915355,135.1900104,"['嘉美心']"
（株）芳地商店,34.688237,135.18125,"['富久錦']"
（有）すずらん吉田商店,34.7239577,135.1472249,"['富久錦']"
（株）ＯＺＡＷＡ　パルドン　西神戸店,34.6762715,135.0138501,"['富久錦', '司牡丹']"
（有）オグラ屋,34.6698034,134.9805243,"['富久錦']"
酒の美味小家　てらむら - （株）裕多加,34.6773262,135.1631172,"['富久錦', '嘉美心']"
（有）諏訪山酒販,34.6674459,135.1609808,"['富久錦']"
たもん酒販（株）,34.65964,135.0565546,"['富久錦']"
小谷酒販（株）,34.3413886,134.8932157,"['五橋']"
（株）高田屋,34.52073,134.8786867,"['富久錦', '嘉美心']"
ＫＯＡＭＩＮＡＫＡ - こあみなか本店,34.7183686,135.2413641,"['富久錦']"
エスポア　くらはし - （有）倉橋商店,34.7427854,135.3104614,"['富久錦']"
（有）いこま　浅井和子,34.7395478,135.4017509,"['富久錦']"
お酒のＷａｋｉ - （株）ワキ,34.7479662,135.3723136,"['超久']"
（有）山田商店,34.8597439,135.4169283,"['富久錦']"
（株）加納吉之助商店,35.1585006,135.0460996,"['嘉美心']"
